pitch,roll,yaw,time
step1
0.2375159,-0.06378443,-7.944746,0.01684995
0.2482892,-0.06045232,-7.905587,0.01684841
0.2482892,-0.06045232,-7.866428,0.003329642
0.2482892,-0.06045232,-7.82727,0.01685033
0.2482892,-0.06045232,-7.788111,0.01684803
0.2482892,-0.06045232,-7.748952,0.01684995
0.2482892,-0.06045232,-7.709793,0.01684841
0.2622487,-0.06171363,-7.671299,0.01684995
0.2622487,-0.06171363,-7.632804,0.0168488
0.2622487,-0.06171363,-7.594309,0.01684995
0.2622487,-0.06171363,-7.555815,0.01684841
0.2622487,-0.06171363,-7.51732,0.01684995
0.2622487,-0.06171363,-7.478826,0.01684841
0.2622487,-0.06171363,-7.440331,0.01684956
0.2883388,-0.06036648,-7.414303,0.0168488
0.2883388,-0.06036648,-7.388275,0.01684918
0.2883388,-0.06036648,-7.362247,0.01684918
0.2883388,-0.06036648,-7.336218,0.01684956
0.2883388,-0.06036648,-7.31019,0.01684841
0.2883388,-0.06036648,-7.284162,0.01684956
0.2883388,-0.06036648,-7.258134,0.0168488
0.3139232,-0.06352991,-7.244303,0.01684918
0.3139232,-0.06352991,-7.230472,0.0168488
0.3139232,-0.06352991,-7.21664,0.01684995
0.3139232,-0.06352991,-7.202809,0.01684918
0.3139232,-0.06352991,-7.188978,0.0168488
0.3478996,-0.0626049,-7.179749,0.01684918
0.3478996,-0.0626049,-7.170521,0.01684918
0.3478996,-0.0626049,-7.161292,0.01684956
0.3478996,-0.0626049,-7.152063,0.01684956
0.3478996,-0.0626049,-7.142835,0.01684841
0.3478996,-0.0626049,-7.133606,0.01684918
0.3816781,-0.06217905,-7.132521,0.0168488
0.3816781,-0.06217905,-7.131436,0.01684918
0.3816781,-0.06217905,-7.130352,0.01684918
0.3816781,-0.06217905,-7.129267,0.01684918
0.4220527,-0.05712599,-7.138303,0.01684995
0.4220527,-0.05712599,-7.14734,0.0168488
0.4220527,-0.05712599,-7.156376,0.0168488
0.4220527,-0.05712599,-7.165413,0.01685033
0.4220527,-0.05712599,-7.174449,0.0168488
0.4220527,-0.05712599,-7.183486,0.01684841
0.4220527,-0.05712599,-7.192523,0.01685033
0.4220527,-0.05712599,-7.201559,0.01684803
0.4677041,-0.05905256,-7.21147,0.01684918
0.4677041,-0.05905256,-7.22138,0.01684918
0.4677041,-0.05905256,-7.231291,0.01684918
0.4677041,-0.05905256,-7.241201,0.0168488
0.4677041,-0.05905256,-7.251112,0.01684918
0.4677041,-0.05905256,-7.261023,0.01684918
0.4677041,-0.05905256,-7.270933,0.01684956
0.5142784,-0.05965134,-7.275519,0.01684841
0.5142784,-0.05965134,-7.280105,0.01685072
0.5142784,-0.05965134,-7.28469,0.01684841
0.5142784,-0.05965134,-7.289276,0.01684918
0.5604913,-0.0606016,-7.287077,0.0168488
0.5604913,-0.0606016,-7.284878,0.01684995
0.5604913,-0.0606016,-7.282679,0.01684841
0.5604913,-0.0606016,-7.280479,0.01684956
0.5604913,-0.0606016,-7.27828,0.0168488
0.5604913,-0.0606016,-7.276081,0.01684995
0.6037447,-0.06638836,-7.271932,0.01684841
0.6037447,-0.06638836,-7.260635,0.01684956
0.6037447,-0.06638836,-7.249339,0.0168488
0.6037447,-0.06638836,-7.238042,0.01684956
0.6037447,-0.06638836,-7.226745,0.0168488
0.6037447,-0.06638836,-7.215448,0.01684956
0.6485578,-0.06913281,-7.205523,0.01684841
0.6485578,-0.06913281,-7.195597,0.01684956
0.6485578,-0.06913281,-7.185671,0.01684956
0.6485578,-0.06913281,-7.175745,0.01684918
0.6485578,-0.06913281,-7.165819,0.01684841
0.6485578,-0.06913281,-7.155893,0.01684956
0.6938329,-0.06693015,-7.148107,0.01684841
0.6938329,-0.06693015,-7.140321,0.01685033
0.6938329,-0.06693015,-7.132535,0.01684803
0.6938329,-0.06693015,-7.124748,0.01684956
0.6938329,-0.06693015,-7.116962,0.003485653
0.6938329,-0.06693015,-7.109176,0.01684918
0.7415199,-0.0659534,-7.099509,0.01684956
0.7415199,-0.0659534,-7.089843,0.0168488
0.7415199,-0.0659534,-7.080176,0.01684918
0.7415199,-0.0659534,-7.07051,0.01684918
0.7415199,-0.0659534,-7.060843,0.01684956
0.7415199,-0.0659534,-7.051177,0.01684956
0.7415199,-0.0659534,-7.041511,0.0168488
0.7879947,-0.06391538,-7.034541,0.0168488
0.7879947,-0.06391538,-7.027572,0.01685225
0.7879947,-0.06391538,-7.020602,0.01684611
0.7879947,-0.06391538,-7.013633,0.01684995
0.7879947,-0.06391538,-7.006663,0.01684841
0.8278449,-0.06212788,-7.007233,0.003426476
0.8278449,-0.06212788,-7.007803,0.01684995
0.8278449,-0.06212788,-7.008373,0.01684918
0.8278449,-0.06212788,-7.008943,0.01684918
0.8278449,-0.06212788,-7.009512,0.01685072
