accX,accY,accZ,gyrX,gyrY,gyrZ,cmpX,cmpY,cmpZ,fr1,fr2,fr3,fr4,fr5,fl1,fl2,fl3,fl4,fl5,time
left_to_right
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1181197
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1581051
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1873175
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218945
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2584634
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2877573
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3278094
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3575081
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3887949
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4296802
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4576438
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5000833
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5321598
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5631747
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.601976
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6297035
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6692411
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7472247
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7771453
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8013911
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8259299
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8574195
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8968064
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.925437
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95855
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9976907
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.025507
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.065762
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.097177
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.126183
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.167119
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.199853
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.237529
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.269209
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.299649
