pitch,roll,yaw,time
123.75,0,-9.651047,12.39381
123.75,0,-9.655789,12.46894
123.75,0,-9.660532,12.50199
123.75,0,-9.665275,12.53738
123.75,0,-9.670017,12.57115
123.75,0,-9.67476,12.60529
123.75,0,-9.679502,12.64005
123.75,0,-9.684245,12.67486
123.75,0,-9.688988,12.71535
123.75,0,-9.69373,12.74905
123.75,0,-9.698473,12.78453
123.75,0,-9.703216,12.81856
123.75,0,-9.707958,12.85357
123.75,0,-9.712701,12.8879
123.75,0,-9.717443,12.92181
123.75,0,-9.722186,12.95596
123.75,0,-9.726929,12.98996
123.75,0,-9.731671,13.02452
123.75,0,-9.736414,13.05837
123.75,0,-9.741157,13.09863
123.75,0,-9.745899,13.13387
123.75,0,-9.750642,13.17459
123.75,0,-9.755384,13.21477
123.75,0,-9.760127,13.25525
123.75,0,-9.76487,13.29511
123.75,0,-9.769612,13.33559
123.75,0,-9.774355,13.37371
123.75,0,-9.779098,13.40785
123.75,0,-9.78384,13.44581
123.75,0,-9.788583,13.48268
123.75,0,-9.793325,13.51655
123.75,0,-9.798068,13.5583
123.75,0,-9.802811,13.59573
123.75,0,-9.807553,13.63161
123.75,0,-9.812296,13.6669
123.75,0,-9.817039,13.70294
123.75,0,-9.821781,13.73873
123.75,0,-9.826524,13.77539
123.75,0,-9.831266,13.81248
123.75,0,-9.836009,13.84918
123.75,0,-9.840752,13.88558
123.75,0,-9.845494,13.92109
123.75,0,-9.850237,13.9623
123.75,0,-9.85498,13.9979
123.75,0,-9.859722,14.03483
123.75,0,-9.864465,14.0731
123.75,0,-9.869207,14.10917
123.75,0,-9.87395,14.1462
123.75,0,-9.878693,14.18683
123.75,0,-9.883435,14.2279
123.75,0,-9.888178,14.26869
123.75,0,-9.89292,14.308
123.75,0,-9.897663,14.34983
123.75,0,-9.902406,14.39599
123.75,0,-9.907148,14.43859
123.75,0,-9.911891,14.47989
123.75,0,-9.916634,14.52044
123.75,0,-9.921376,14.55895
123.75,0,-9.926119,14.59503
123.75,0,-9.930861,14.63093
123.75,0,-9.935604,14.66737
123.75,0,-9.940347,14.70566
123.75,0,-9.945089,14.74389
123.75,0,-9.949832,14.77966
123.75,0,-9.954575,14.82548
123.75,0,-9.959317,14.86546
123.75,0,-9.96406,14.90363
123.75,0,-9.968802,14.94238
123.75,0,-9.973545,14.97944
123.75,0,-9.978288,15.01614
123.75,0,-9.98303,15.05457
123.75,0,-9.987773,15.09056
123.75,0,-9.992516,15.12815
123.75,0,-9.997258,15.16631
123.75,0,-10.002,15.20399
123.75,0,-10.00674,15.24772
123.75,0,-10.01149,15.28993
123.75,0,-10.01623,15.33215
123.75,0,-10.02097,15.37387
123.75,0,-10.02571,15.4171
123.75,0,-10.03046,15.45642
123.75,0,-10.0352,15.49991
123.75,0,-10.03994,15.54265
123.75,0,-10.04468,15.58544
123.75,0,-10.04943,15.62815
123.75,0,-10.05417,15.66666
123.75,0,-10.05891,15.70817
123.75,0,-10.06365,15.74576
123.75,0,-10.0684,15.80581
123.75,0,-10.07314,15.84441
123.75,0,-10.07788,15.88292
123.75,0,-10.08263,15.92032
